City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Nemuro,43.3236,145.575,32.0,59,75,11.5,JP,1616140702
Kapaa,22.0752,-159.319,69.8,78,90,20.71,US,1616140310
Lebu,-37.6167,-73.65,52.05,89,0,3.56,CL,1616140702
Mackay,-21.15,149.2,80.6,78,90,9.22,AU,1616140646
Saint George,37.1041,-113.5841,54.0,58,1,5.75,US,1616140293
Hobart,-42.8794,147.3294,68.0,49,20,11.5,AU,1616140258
Hermanus,-34.4187,19.2345,64.99,77,98,1.01,ZA,1616140359
Columbus,39.9612,-82.9988,37.99,65,90,18.41,US,1616140471
Vaini,-21.2,-175.2,78.8,89,20,3.44,TO,1616140297
Terråk,65.087,12.3715,33.8,69,75,11.5,NO,1616140703
Chui,-33.6971,-53.4616,55.71,80,6,4.81,UY,1616140322
Carbonia,39.1672,8.5222,48.99,81,40,2.3,IT,1616140704
Qaanaaq,77.484,-69.3632,-10.21,81,100,6.4,GL,1616140704
Castro,-24.7911,-50.0119,62.31,96,84,6.85,BR,1616140404
Port Elizabeth,-33.918,25.5701,71.6,73,20,23.02,ZA,1616140433
Saint Anthony,45.0205,-93.218,35.6,59,1,4.45,US,1616140705
New Norfolk,-42.7826,147.0587,66.99,51,0,1.99,AU,1616140705
Beloha,-25.1667,45.05,93.56,36,0,5.03,MG,1616140552
Broome,42.2506,-75.833,28.99,50,1,16.11,US,1616140705
Pastavy,55.1168,26.8326,32.99,68,85,2.71,BY,1616140357
Kyren,51.6828,102.1408,26.85,66,81,1.52,RU,1616140706
Guerrero Negro,27.9769,-114.0611,57.04,82,13,11.79,MX,1616140374
Miles City,46.4083,-105.8406,37.4,60,1,13.8,US,1616140706
Hong Kong,22.2855,114.1577,82.4,54,40,6.91,HK,1616140414
Albany,42.6001,-73.9662,28.99,35,100,3.0,US,1616140175
Idlib,35.9306,36.6339,57.2,62,40,10.36,SY,1616140707
Saint-Louis,16.3333,-15.0,68.0,52,0,7.09,SN,1616140707
Jamestown,42.097,-79.2353,28.0,50,1,16.35,US,1616140707
Hasaki,35.7333,140.8333,57.0,62,40,11.5,JP,1616140708
Sitka,57.0531,-135.33,33.8,69,75,5.75,US,1616140592
Saint-Philippe,-21.3585,55.7679,86.0,70,20,26.46,RE,1616140708
Barrow,71.2906,-156.7887,-2.2,71,75,6.91,US,1616140320
Ugoofaaru,5.6667,73.0,83.44,64,59,7.54,MV,1616140564
Brae,60.3964,-1.353,44.6,93,75,5.75,GB,1616140544
Husavik,66.0449,-17.3389,50.0,62,75,16.11,IS,1616140608
Bluff,-46.6,168.3333,55.0,84,45,5.01,NZ,1616140709
Katsuura,35.1333,140.3,63.0,72,75,12.66,JP,1616140709
Upernavik,72.7868,-56.1549,-4.0,88,79,6.11,GL,1616140710
Bowen,-20.0167,148.2333,80.6,74,90,10.36,AU,1616140710
Roald,62.5833,6.1333,39.2,87,0,8.05,NO,1616140710
Sarangani,5.4033,125.4636,82.92,75,43,12.15,PH,1616140711
Eucaliptus,-17.5833,-67.5167,42.78,87,65,4.85,BO,1616140711
Todos Santos,23.45,-110.2167,60.01,68,0,1.01,MX,1616140711
Kinkala,-4.3614,14.7644,71.6,94,20,4.61,CG,1616140712
Bhuj,23.2667,69.6667,93.97,13,0,1.39,IN,1616140521
Marzuq,14.4,46.4667,85.66,8,0,7.54,YE,1616140460
Ribeira Grande,38.5167,-28.7,60.8,88,75,18.41,PT,1616140307
Nikolskoye,59.7035,30.7861,21.2,73,75,8.95,RU,1616140344
Hilo,19.7297,-155.09,68.0,83,90,5.75,US,1616140463
Puerto Ayora,-0.7393,-90.3518,75.0,96,99,4.47,EC,1616140713
Comodoro Rivadavia,-45.8667,-67.5,62.6,45,0,2.3,AR,1616140412
Kloulklubed,7.0419,134.2556,86.0,70,75,10.36,PW,1616140713
Haines Junction,60.7522,-137.5108,14.0,67,100,9.22,CA,1616140329
Kheri,27.9,80.8,98.87,10,71,12.01,IN,1616140709
Lago da Pedra,-4.3333,-45.1667,71.37,98,100,3.06,BR,1616140714
Nantucket,41.2835,-70.0995,35.01,97,100,42.86,US,1616140619
Smithers,54.7804,-127.1743,33.8,100,40,2.3,CA,1616140633
Chul'man,56.8479,124.9104,19.18,83,100,1.77,RU,1616140714
Kharp,66.8014,65.8081,2.28,95,91,4.38,RU,1616140410
Cap-aux-Meules,47.3821,-61.8597,24.8,93,100,21.85,CA,1616140502
Padang,-0.9492,100.3543,86.0,66,20,9.22,ID,1616140181
Grindavik,63.8424,-22.4338,44.6,100,90,23.02,IS,1616140638
Faya,18.3851,42.4509,73.4,21,0,8.05,SA,1616140715
Dikson,73.5069,80.5464,-27.81,92,0,9.71,RU,1616140716
Broken Hill,-31.95,141.4333,80.6,41,40,20.71,AU,1616140716
Kalmunai,7.4167,81.8167,78.87,81,100,8.1,LK,1616140311
Anchorage,61.2181,-149.9003,17.6,41,1,6.91,US,1616140716
Abadan,38.0507,58.2056,68.0,49,75,6.91,TM,1616140717
Mount Isa,-20.7333,139.5,95.0,24,69,6.91,AU,1616140409
Makakilo City,21.3469,-158.0858,69.8,68,90,9.22,US,1616140717
Hrebinka,50.1171,32.4361,36.46,77,100,4.97,UA,1616140717
Torbay,47.6666,-52.7314,37.0,93,90,27.63,CA,1616140718
Nhulunbuy,-12.2333,136.7667,77.0,94,90,3.44,AU,1616140718
Fenelon Falls,44.5334,-78.7496,23.0,39,0,6.91,CA,1616140718
Eura,61.1333,22.1333,19.4,68,0,9.22,FI,1616140719
Santa Cruz de la Sierra,-17.8,-63.1667,71.6,83,75,6.91,BO,1616140719
Bilibino,68.0546,166.4372,-15.63,80,88,1.97,RU,1616140520
Jinxiang,27.4327,120.6062,63.72,85,32,6.67,CN,1616140719
Omboué,-1.5746,9.2618,78.53,83,94,4.14,GA,1616140720
Ossora,59.2353,163.0719,16.34,95,100,6.24,RU,1616140720
Najrān,17.4924,44.1277,84.2,14,0,4.61,SA,1616140720
Aleksandrovskoye,44.7142,43.0008,48.2,66,40,4.47,RU,1616140721
Nome,64.5011,-165.4064,-11.2,70,1,3.44,US,1616140505
Provideniya,64.3833,-173.3,-8.81,94,0,7.9,RU,1616140556
Airai,-8.9266,125.4092,67.78,87,100,1.59,TL,1616140406
Tashla,51.7716,52.7427,31.71,98,100,14.61,RU,1616140721
Avarua,-21.2078,-159.775,77.0,88,40,3.44,CK,1616140399
East London,-33.0153,27.9116,71.6,68,75,18.41,ZA,1616140491
Iqaluit,63.7506,-68.5145,-23.01,69,1,13.8,CA,1616140606
Ajdabiya,30.7554,20.2263,69.8,26,94,21.41,LY,1616140722
Souillac,-20.5167,57.5167,84.2,70,40,10.36,MU,1616140400
Tabou,4.423,-7.3528,78.13,80,88,0.76,CI,1616140407
Pringsewu,-5.3582,104.9744,84.63,77,95,3.78,ID,1616140723
Pevek,69.7008,170.3133,-20.42,92,50,1.07,RU,1616140506
Sakakah,29.9697,40.2064,62.6,34,0,4.61,SA,1616140568
Lüderitz,-26.6481,15.1594,70.7,49,12,18.19,NA,1616140530
Hervey Bay,-25.2986,152.8535,78.01,81,12,4.0,AU,1616140723
Khovd,48.0056,91.6419,26.11,39,37,4.92,MN,1616140724
Hattiesburg,31.3271,-89.2903,51.8,58,90,12.66,US,1616140724
Shuyskoye,59.3736,41.0305,25.32,89,95,4.68,RU,1616140725
Saint-Augustin,51.226,-58.6502,26.2,89,85,15.59,CA,1616140725
Cayenne,4.9333,-52.3333,78.01,94,90,7.18,GF,1616140385
Brčko,44.8728,18.8083,37.0,100,75,5.75,BA,1616140562
Sterling,39.0062,-77.4286,43.0,84,100,3.0,US,1616140478
General Roca,-39.0333,-67.5833,53.6,82,0,2.3,AR,1616140726
Iquique,-20.2208,-70.1431,66.2,63,0,3.44,CL,1616140302
Ongandjera,-17.8833,15.0667,75.63,65,72,10.04,NA,1616140726
Katherine,-14.4667,132.2667,77.0,83,40,3.44,AU,1616140726
Kajaani,64.2273,27.7285,6.8,78,0,3.44,FI,1616140627
Stornoway,58.2093,-6.3865,46.99,93,75,2.3,GB,1616140727
Dubrovytsya,51.5744,26.565,33.19,71,16,3.87,UA,1616140727
Lavrentiya,65.5833,-171.0,-15.07,97,52,2.59,RU,1616140502
Yeppoon,-23.1333,150.7333,80.6,69,75,10.36,AU,1616140487
São José da Coroa Grande,-8.8978,-35.1478,77.07,83,29,5.91,BR,1616140728
Ürümqi,43.801,87.6005,33.8,60,0,6.71,CN,1616140728
Mar del Plata,-38.0023,-57.5575,54.0,86,0,3.0,AR,1616140275
Kungurtug,50.5994,97.5228,21.02,63,100,6.73,RU,1616140729
Kaohsiung City,22.6163,120.3133,82.4,51,40,10.36,TW,1616140729
Chara,56.9064,118.2631,20.35,67,99,1.74,RU,1616140468
Ponta do Sol,32.6667,-17.1,59.0,28,0,1.99,PT,1616140369
Vrangel',42.7297,133.0839,38.37,53,84,8.99,RU,1616140730
Japura,-0.3167,102.35,86.36,76,84,3.89,ID,1616140730
Yellowknife,62.456,-114.3525,12.2,85,1,5.75,CA,1616140419
Mahébourg,-20.4081,57.7,84.2,70,40,10.36,MU,1616140373
Tigzirt,36.8886,4.1198,50.99,78,100,9.6,DZ,1616140730
Tomé,-36.6167,-72.95,57.2,88,0,1.14,CL,1616140731
Carnarvon,-24.8667,113.6333,91.4,33,0,13.8,AU,1616140410
Saint Paul Harbor,57.79,-152.4072,19.4,49,1,10.36,US,1616140731
Villa Tecolutilla,18.2833,-93.3167,72.84,84,100,15.19,MX,1616140731
Gizo Government Station,-8.103,156.8419,83.66,68,76,3.58,SB,1616140732
Constitución,-35.3333,-72.4167,51.48,86,0,3.71,CL,1616140437
Touros,-5.1989,-35.4608,73.4,94,40,2.3,BR,1616140504
Longyearbyen,78.2186,15.6401,30.2,86,90,9.22,SJ,1616140319
Ibiá,-19.4783,-46.5389,63.0,100,26,3.04,BR,1616140732
Tuktoyaktuk,69.4541,-133.0374,-16.19,100,98,8.93,CA,1616140449
Paranaíba,-19.6772,-51.1908,69.62,89,95,3.69,BR,1616140733
Abhā,18.2164,42.5053,73.4,21,0,8.05,SA,1616140733
Suba,10.8438,121.0102,84.2,74,8,9.93,PH,1616140733
Moscow,55.7522,37.6156,32.0,74,75,6.71,RU,1616140599
Buta,2.7858,24.73,90.34,47,83,1.1,CD,1616140734
Burnie,-41.0667,145.9167,63.7,79,0,7.81,AU,1616140734
Coquimbo,-29.9533,-71.3436,57.2,77,75,2.3,CL,1616140734
Prien,30.1819,-93.2738,51.8,66,1,9.22,US,1616140735
Norman Wells,65.282,-126.8329,3.2,85,90,16.11,CA,1616140332
General Pico,-35.6566,-63.7568,48.74,62,0,5.35,AR,1616140475
Coaticook,45.1334,-71.7991,15.8,53,24,8.05,CA,1616140735
Fairbanks,64.8378,-147.7164,6.8,78,90,2.55,US,1616140476
Richards Bay,-28.783,32.0377,82.87,64,0,2.71,ZA,1616140736
Simao,22.7886,100.9748,88.38,14,93,9.62,CN,1616140737
San Jose,37.3394,-121.895,55.4,87,75,8.05,US,1616140533
Guiratinga,-16.3494,-53.7583,68.74,98,100,2.48,BR,1616140738
Tuatapere,-46.1333,167.6833,55.0,84,63,5.01,NZ,1616140425
Östersund,63.1792,14.6357,19.99,67,20,8.05,SE,1616140512
Kavieng,-2.5744,150.7967,83.77,73,90,6.96,PG,1616140738
São Filipe,14.8961,-24.4956,70.86,75,11,7.38,CV,1616140739
Lagoa,39.05,-27.9833,58.44,82,100,17.07,PT,1616140739
Lorengau,-2.0226,147.2712,83.03,75,48,5.73,PG,1616140739
Raudeberg,61.9875,5.1352,39.0,96,52,11.03,NO,1616140740
Taoudenni,22.6783,-3.9836,74.86,14,0,12.03,ML,1616140740
Gesves,50.4015,5.0746,37.0,86,75,13.8,BE,1616140741
Portland,45.5234,-122.6762,46.0,87,53,1.01,US,1616140392
Saskylakh,71.9167,114.0833,-19.07,91,100,12.64,RU,1616140423
Novy Urengoy,66.0833,76.6333,3.34,94,100,11.54,RU,1616140741
Ust'-Kulom,61.6864,53.6902,29.16,91,98,2.77,RU,1616140741
Chokurdakh,70.6333,147.9167,-24.68,79,0,8.86,RU,1616140742
Shenjiamen,29.9576,122.298,53.71,97,100,4.47,CN,1616140742
Southbridge,42.0751,-72.0334,32.0,73,100,1.01,US,1616140742
Nizwá,22.9333,57.5333,95.02,9,0,3.65,OM,1616140645
Finschhafen,-6.6024,147.8681,83.53,74,3,7.76,PG,1616140743
Ambon City,-3.6954,128.1814,86.0,70,40,4.61,ID,1616140743
Kondinskoye,59.6481,67.41,25.03,91,100,9.66,RU,1616140743
Kamina,-8.7386,24.9906,79.79,67,50,1.86,CD,1616140744
Lokoja,7.8024,6.743,80.64,69,100,3.96,NG,1616140744
Yangi Marg`ilon,40.4272,71.7189,59.0,38,100,2.3,UZ,1616140744
San Patricio,28.017,-97.5169,59.0,41,1,6.91,US,1616140341
Erdenet,49.0333,104.0833,22.15,62,100,6.26,MN,1616140745
Wiarton,44.7407,-81.1332,27.0,46,1,14.97,CA,1616140745
Nanortalik,60.1432,-45.2371,24.3,77,43,4.81,GL,1616140418
Zyryanka,65.75,150.85,-17.37,95,62,3.87,RU,1616140746
Orotukan,62.2667,151.7,-16.2,100,97,2.15,RU,1616140746
Jilin,43.0,126.0,48.97,26,5,4.83,CN,1616140746
Tasiilaq,65.6145,-37.6368,30.2,74,20,10.36,GL,1616140368
Lethem,3.3803,-59.7968,74.46,74,99,11.79,GY,1616140470
Wagar,16.1525,36.2032,90.09,32,26,7.92,SD,1616140747
Kangaatsiaq,68.3065,-53.4641,11.75,73,100,8.61,GL,1616140747
Praia da Vitória,38.7333,-27.0667,59.0,82,75,13.42,PT,1616140747
Veriora,58.0079,27.3551,28.99,63,0,8.05,EE,1616140748
Bubaque,11.2833,-15.8333,75.54,64,0,7.58,GW,1616140385
Kormilovka,55.0026,74.1028,24.8,50,0,11.18,RU,1616140749
Lázaro Cárdenas,17.9583,-102.2,70.2,81,0,4.99,MX,1616140750
Knyaze-Volkonskoye,48.4642,135.4567,33.8,60,40,4.47,RU,1616140751
Kenora,49.8167,-94.4337,33.8,51,20,9.22,CA,1616140247
Rutana Province,-3.8667,30.1,70.41,65,39,3.69,BI,1616140751
Kisangani,0.5167,25.2,89.82,46,2,0.76,CD,1616140751
Kahului,20.8947,-156.47,68.0,73,1,11.5,US,1616140208
Merauke,-8.4667,140.3333,82.53,78,100,5.44,ID,1616140508
West Linton,55.7497,-3.3561,42.01,100,20,1.14,GB,1616140752
Codrington,-38.2667,141.9667,66.94,77,0,15.19,AU,1616140593
Yevlax,40.6089,47.1492,53.6,50,90,14.97,AZ,1616140752
Arraial do Cabo,-22.9661,-42.0278,75.22,88,27,16.11,BR,1616140421
Eyl,7.9803,49.8164,83.84,59,87,13.47,SO,1616140753
Čierna nad Tisou,48.417,22.0887,35.6,64,64,8.95,SK,1616140754
Beyneu,45.3167,55.2,43.57,65,76,24.54,KZ,1616140754
Muros,42.7762,-9.0603,48.99,72,89,8.01,ES,1616140511
Aktas,49.7789,72.9608,32.0,59,0,17.9,KZ,1616140754
Sovetskiy,61.3614,63.5842,27.41,91,100,3.06,RU,1616140755
Chopda,21.25,75.3,99.68,17,2,4.68,IN,1616140755
Saint-François,46.4154,3.9054,35.01,100,90,6.91,FR,1616140646
Lompoc,34.6391,-120.4579,55.4,76,75,4.27,US,1616140388
Bambous Virieux,-20.3428,57.7575,84.2,70,40,10.36,MU,1616140755
Águas Formosas,-17.0822,-40.9358,66.79,98,91,0.94,BR,1616140756
Vilyuysk,63.7553,121.6247,22.62,90,100,10.85,RU,1616140578
Russell,32.3502,-85.1999,50.0,62,90,10.36,US,1616140756
Debre Tabor,11.85,38.0167,70.43,23,100,4.34,ET,1616140757
Taltal,-25.4,-70.4833,63.82,88,94,1.61,CL,1616140436
Sistranda,63.7256,8.834,35.6,87,75,14.97,NO,1616140434
Wana,32.2989,69.5725,71.37,29,0,5.77,PK,1616140758
Fare,-16.7,-151.0167,82.17,69,5,4.09,PF,1616140759
Puerto del Rosario,28.5004,-13.8627,62.6,72,20,13.8,ES,1616140577
Prado,-17.3411,-39.2208,73.92,89,100,1.23,BR,1616140759
Kurumkan,54.3,110.3,23.02,76,65,3.91,RU,1616140759
Bengkulu,-3.8004,102.2655,83.43,71,85,6.98,ID,1616140378
Lata,40.1629,-8.3327,48.99,62,5,1.01,PT,1616140505
Pandan,14.0453,124.1694,83.89,71,23,9.13,PH,1616140760
Meulaboh,4.1363,96.1285,85.84,66,30,6.98,ID,1616140405
Marsh Harbour,26.5412,-77.0636,73.49,83,0,20.02,BS,1616140760
Santa Rosa,14.3122,121.1114,91.4,62,40,9.22,PH,1616140529
Jiangyou,31.7667,104.7167,61.77,62,100,1.21,CN,1616140277
Alpena,45.0617,-83.4327,28.0,68,1,4.61,US,1616140761
Ilulissat,69.2167,-51.1,15.8,53,20,19.57,GL,1616140369
Xiaoweizhai,26.1903,107.5125,73.92,75,100,8.12,CN,1616140761
La Libertad,-2.2333,-80.9,77.67,81,100,5.41,EC,1616140762
Todos Santos Cuchumatán,15.5167,-91.6167,55.4,88,75,2.15,GT,1616140762
Lékoni,-1.5843,14.2591,77.59,75,100,7.61,GA,1616140762
Key West,24.5557,-81.7826,77.0,78,40,8.05,US,1616140763
Bilma,18.6853,12.9164,91.15,12,1,7.61,NE,1616140763
Rawson,-43.3002,-65.1023,64.11,43,1,17.13,AR,1616140555
Pangnirtung,66.1451,-65.7125,-16.51,70,0,3.69,CA,1616140763
Jos,9.9167,8.9,77.9,50,91,6.78,NG,1616140764
Tiznit Province,29.5833,-9.5,52.56,78,99,9.95,MA,1616140613
Fort Saint James,54.4333,-124.25,32.38,97,100,1.86,CA,1616140764
Ostrovnoy,68.0531,39.5131,11.03,83,9,4.74,RU,1616140765
Kalabo,-14.97,22.6814,74.86,71,99,7.9,ZM,1616140765
Dudinka,69.4058,86.1778,-14.73,88,100,1.77,RU,1616140642
Hithadhoo,-0.6,73.0833,82.65,72,95,12.46,MV,1616140367
Salalah,17.0151,54.0924,82.4,61,0,8.05,OM,1616140364
Adamantas,36.7333,24.4333,59.0,72,7,18.41,GR,1616140766
Tsimmerbude,54.675,20.1347,30.99,74,75,17.9,RU,1616140766
Rūdbār,30.15,62.6,93.9,12,56,12.46,AF,1616140766
Ulladulla,-35.35,150.4667,66.99,100,75,10.36,AU,1616140766
Cortes,41.9395,-1.4396,48.99,75,90,12.66,ES,1616140664
Qūchān,37.106,58.5095,60.93,48,21,12.59,IR,1616140767
Kashgar,39.4547,75.9797,44.6,36,20,4.47,CN,1616140767
Severo-Kuril'sk,50.6789,156.125,30.69,95,95,11.48,RU,1616140767
Hamilton,39.1834,-84.5333,37.99,70,90,23.02,US,1616140628
Sinazongwe,-17.2614,27.4618,78.87,69,0,3.94,ZM,1616140768
San Policarpo,12.1791,125.5072,84.36,69,23,7.36,PH,1616140573
Quatre Cocos,-20.2078,57.7625,84.2,70,40,10.36,MU,1616140670
Korla,41.7597,86.1469,40.44,69,61,9.35,CN,1616140769
Livingstonia,-10.606,34.1063,71.15,78,73,5.68,MW,1616140770
Yulara,-25.2406,130.9889,84.2,20,100,17.27,AU,1616140498
Auki,-8.7676,160.7034,80.58,80,89,1.63,SB,1616140770
São Félix do Xingu,-6.6447,-51.995,70.5,99,98,1.92,BR,1616140770
Vanavara,60.34,102.2797,23.9,85,100,11.63,RU,1616140431
Mount Gambier,-37.8333,140.7667,75.2,57,0,14.97,AU,1616140550
Ola,59.5833,151.2833,7.23,66,0,13.04,RU,1616140641
Dailly,46.2,7.0333,34.0,86,20,5.75,CH,1616140771
Erzin,36.9559,36.2,59.0,75,8,9.24,TR,1616140772
La Ronge,55.1001,-105.2842,32.0,74,5,4.61,CA,1616140772
Copiapó,-27.3667,-70.3333,60.8,82,90,4.61,CL,1616140772
Qax,41.4225,46.9242,46.4,57,75,4.61,AZ,1616140773
Bud,39.447,-86.1758,33.8,64,1,14.97,US,1616140773
Port Keats,-14.25,129.55,83.98,77,84,7.29,AU,1616140773
Baraboo,43.4711,-89.7443,30.0,63,1,6.91,US,1616140774
Nishihara,26.1842,127.7558,77.0,73,75,5.75,JP,1616140613
Graaff-Reinet,-32.2522,24.5308,70.0,69,47,4.0,ZA,1616140774
Chiredzi,-21.05,31.6667,83.79,50,1,5.14,ZW,1616140774
Taiyuan,37.8694,112.5603,33.8,93,90,4.47,CN,1616140775
Karpogory,64.0019,44.4451,9.52,91,100,6.87,RU,1616140775
Karratha,-20.7377,116.8463,88.38,44,81,19.35,AU,1616140681
Maryborough,-25.5333,152.7,78.01,81,2,4.0,AU,1616140775
Charlestown,-32.95,151.6667,73.0,90,100,1.99,AU,1616140776
Paka,4.6374,103.4368,87.8,66,40,9.22,MY,1616140776
Tiksi,71.6872,128.8694,-2.04,99,100,6.76,RU,1616140450
Snåase,64.2457,12.3778,30.2,64,75,11.5,NO,1616140776
Yumen,40.2833,97.2,41.99,17,0,21.63,CN,1616140777
Kendari,-3.945,122.4989,84.02,77,98,3.15,ID,1616140777
Te Anau,-45.4167,167.7167,50.94,90,0,4.7,NZ,1616140777
Talnakh,69.4865,88.3972,-12.14,92,100,4.0,RU,1616140778
Esperance,-33.8667,121.9,86.0,37,0,14.97,AU,1616140432
Port Hawkesbury,45.6169,-61.3485,30.99,93,90,8.05,CA,1616140778
Gaoual,11.75,-13.2,70.41,71,31,1.34,GN,1616140778
George Town,5.4112,100.3354,91.4,51,20,11.5,MY,1616140741
Uruçuí,-7.2294,-44.5561,73.53,90,100,0.81,BR,1616140779
Bayjī,34.9311,43.487,66.34,31,0,7.43,IQ,1616140779
Saldanha,-33.0117,17.9442,66.2,72,0,17.27,ZA,1616140533
Myaundzha,63.0494,147.1858,-11.13,93,19,3.06,RU,1616140780
Flin Flon,54.7682,-101.865,27.64,91,0,6.15,CA,1616140355
Pekalongan,-6.8886,109.6753,84.43,77,18,9.1,ID,1616140780
Laas,46.6166,10.7002,37.99,85,0,6.91,IT,1616140352
Mangit,40.5971,70.9607,60.8,31,100,2.3,UZ,1616140780
Deqing,30.5448,119.9599,57.0,94,100,1.88,CN,1616140781
Coari,-4.085,-63.1414,71.69,99,100,2.68,BR,1616140781
Putatan,5.9258,116.0609,89.01,74,20,8.05,MY,1616140781
Westport,41.1415,-73.3579,39.2,70,90,19.57,US,1616140404
Tikrit,34.6071,43.6782,67.08,28,0,7.7,IQ,1616140782
Baoro,5.6667,15.9667,80.26,63,40,4.27,CF,1616140782
Beringovskiy,63.05,179.3167,-5.78,99,100,9.08,RU,1616140534
Vestmannaeyjar,63.4427,-20.2734,46.6,93,100,21.21,IS,1616140616
Sabang,5.8933,95.3214,83.57,66,0,8.99,ID,1616140783
Pekan Nenas,1.51,103.5141,95.0,52,20,4.61,MY,1616140783
Rome,43.2128,-75.4557,28.4,40,1,9.22,US,1616140783
Rundu,-17.9333,19.7667,77.31,60,77,8.66,NA,1616140784
Martaban,16.5314,97.6111,94.37,36,69,13.0,MM,1616140784
Peniche,39.3558,-9.3811,51.01,72,30,3.0,PT,1616140784
Flinders,-34.5833,150.8552,70.0,86,100,5.01,AU,1616140341
Dongsheng,39.8161,109.9776,33.03,91,100,29.35,CN,1616140567
Naze,28.3667,129.4833,75.2,73,75,11.5,JP,1616140339
Tekeli,44.83,78.8239,40.53,91,0,6.15,KZ,1616140785
Birao,10.2849,22.7882,92.68,34,99,5.79,CF,1616140785
Kieta,-6.2167,155.6333,81.59,77,100,3.33,PG,1616140786
Ocampo,21.65,-101.5,42.19,64,0,6.08,MX,1616140786
Puerto Colombia,10.9878,-74.9547,77.0,94,0,8.05,CO,1616140573
Victoria Point,-27.5833,153.3,78.01,74,5,4.0,AU,1616140786
Copala,16.65,-98.9833,72.99,73,0,4.25,MX,1616140787
Sioux Lookout,50.1001,-91.917,32.0,40,1,5.75,CA,1616140497
Leh,34.1667,77.5833,31.68,40,4,3.47,IN,1616140787
Kot Samaba,28.5522,70.4684,96.28,12,0,6.17,PK,1616140562
Coahuayana Viejo,18.7333,-103.6833,66.45,84,0,3.31,MX,1616140787
Kununurra,-15.7667,128.7333,75.2,100,75,17.27,AU,1616140424
Rehoboth,-23.3167,17.0833,75.2,24,0,5.84,NA,1616140788
Bulgan,48.8125,103.5347,23.79,62,99,3.4,MN,1616140788
Altay,47.8667,88.1167,21.13,64,0,0.76,CN,1616140788
Houma,29.5958,-90.7195,54.0,71,1,6.91,US,1616140789
Oranjemund,-28.55,16.4333,65.91,66,0,16.62,NA,1616140789
Bumba,2.1833,22.4667,87.91,50,31,1.39,CD,1616140789
Vardø,70.3705,31.1107,19.4,86,20,18.41,NO,1616140790
Ifakara,-8.1333,36.6833,82.27,79,77,0.87,TZ,1616140790
Kiryat Gat,31.61,34.7642,66.0,53,35,1.01,IL,1616140610
Barra do Garças,-15.89,-52.2567,69.19,97,100,1.74,BR,1616140702
Pisco,-13.7,-76.2167,68.0,83,0,3.44,PE,1616140527
Neuquén,-38.9516,-68.0591,53.6,82,0,2.3,AR,1616140791
Ranst,51.19,4.5677,37.99,75,0,9.22,BE,1616140523
Noumea,-22.2763,166.4572,78.8,69,20,1.14,NC,1616140791
Mabaruma,8.2,-59.7833,69.12,96,96,1.54,GY,1616140791
Douglas,41.3,-96.167,35.01,80,1,3.53,US,1616140792
Manado,1.487,124.8455,78.8,89,40,4.61,ID,1616140792
Mehrān,33.1222,46.1646,59.0,31,0,6.91,IR,1616140792
Hohhot,40.8106,111.6522,39.2,87,40,6.71,CN,1616140793
